ABT	B	124.25	16
ABT	B	124.12	13
ABT	B	124.02	24
ABT	B	123.92	26
ABT	B	123.82	11
ABT	O	124.42	28
ABT	O	124.52	14
ABT	O	124.62	14
ABT	O	124.72	22
ABT	O	124.82	13
ABBV	B	25.62	11
ABBV	B	25.52	28
ABBV	B	25.42	18
ABBV	B	25.32	19
ABBV	B	25.22	12
ABBV	O	25.82	24
ABBV	O	25.92	16
ABBV	O	26.02	26
ABBV	O	26.12	20
ABBV	O	26.22	13
ACN	B	35.31	26
ACN	B	35.21	18
ACN	B	35.11	16
ACN	B	35.01	20
ACN	B	34.91	13
ACN	O	35.51	23
ACN	O	35.61	24
ACN	O	35.71	29
ACN	O	35.81	24
ACN	O	35.91	14
ACE	B	52.94	29
ACE	B	52.84	19
ACE	B	52.74	11
ACE	B	52.64	12
ACE	B	52.54	18
ACE	O	53.14	13
ACE	O	53.24	10
ACE	O	53.34	23
ACE	O	53.44	23
ACE	O	53.54	16
ADBE	B	63.46	28
ADBE	B	63.36	25
ADBE	B	63.26	16
ADBE	B	63.16	13
ADBE	B	63.06	21
ADBE	O	63.66	19
ADBE	O	63.76	10
ADBE	O	63.86	14
ADBE	O	63.96	15
ADBE	O	64.06	17
ADT	B	39.56	26
ADT	B	39.46	12
ADT	B	39.36	15
ADT	B	39.26	18
ADT	B	39.16	18
ADT	O	39.76	29
ADT	O	39.86	24
ADT	O	39.96	22
ADT	O	40.06	11
ADT	O	40.16	23
AAP	B	29.43	11
AAP	B	29.33	11
AAP	B	29.23	20
AAP	B	29.13	21
AAP	B	29.03	19
AAP	O	29.63	18
AAP	O	29.73	26
AAP	O	29.83	24
AAP	O	29.93	24
AAP	O	30.03	10
AES	B	33.53	19
AES	B	33.43	16
AES	B	33.33	26
AES	B	33.23	25
AES	B	33.13	22
AES	O	33.73	21
AES	O	33.83	19
AES	O	33.93	18
AES	O	34.03	12
AES	O	34.13	26
AET	B	18.86	14
AET	B	18.76	27
AET	B	18.66	11
AET	B	18.56	27
AET	B	18.46	26
AET	O	19.06	21
AET	O	19.16	21
AET	O	19.26	23
AET	O	19.36	24
AET	O	19.46	27
AFL	B	56.77	19
AFL	B	56.67	17
AFL	B	56.57	25
AFL	B	56.47	20
AFL	B	56.37	21
AFL	O	56.97	23
AFL	O	57.07	28
AFL	O	57.17	12
AFL	O	57.27	22
AFL	O	57.37	25
AMG	B	28.88	24
AMG	B	28.78	27
AMG	B	28.68	29
AMG	B	28.58	27
AMG	B	28.48	27
AMG	O	29.08	22
AMG	O	29.18	10
AMG	O	29.28	16
AMG	O	29.38	17
AMG	O	29.48	14
A	B	32.53	11
A	B	32.43	14
A	B	32.33	24
A	B	32.23	12
A	B	32.13	18
A	O	32.73	19
A	O	32.83	17
A	O	32.93	21
A	O	33.03	28
A	O	33.13	20
GAS	B	61.59	21
GAS	B	61.49	29
GAS	B	61.39	24
GAS	B	61.29	25
GAS	B	61.19	25
GAS	O	61.79	13
GAS	O	61.89	20
GAS	O	61.99	25
GAS	O	62.09	27
GAS	O	62.19	18
APD	B	17.8	13
APD	B	17.7	13
APD	B	17.6	25
APD	B	17.5	29
APD	B	17.4	21
APD	O	18	27
APD	O	18.1	28
APD	O	18.2	23
APD	O	18.3	18
APD	O	18.4	26
ARG	B	28.63	22
ARG	B	28.53	17
ARG	B	28.43	15
ARG	B	28.33	16
ARG	B	28.23	26
ARG	O	28.83	12
ARG	O	28.93	17
ARG	O	29.03	28
ARG	O	29.13	20
ARG	O	29.23	23
AKAM	B	58.81	12
AKAM	B	58.71	26
AKAM	B	58.61	17
AKAM	B	58.51	20
AKAM	B	58.41	18
AKAM	O	59.01	16
AKAM	O	59.11	11
AKAM	O	59.21	12
AKAM	O	59.31	26
AKAM	O	59.41	21
AA	B	62.78	10
AA	B	62.68	10
AA	B	62.58	23
AA	B	62.48	22
AA	B	62.38	29
AA	O	62.98	24
AA	O	63.08	15
AA	O	63.18	29
AA	O	63.28	21
AA	O	63.38	25
AGN	B	26.61	19
AGN	B	26.51	15
AGN	B	26.41	23
AGN	B	26.31	10
AGN	B	26.21	29
AGN	O	26.81	20
AGN	O	26.91	14
AGN	O	27.01	24
AGN	O	27.11	12
AGN	O	27.21	26
ALXN	B	35.59	11
ALXN	B	35.49	13
ALXN	B	35.39	11
ALXN	B	35.29	28
ALXN	B	35.19	14
ALXN	O	35.79	13
ALXN	O	35.89	25
ALXN	O	35.99	24
ALXN	O	36.09	20
ALXN	O	36.19	21
ALLE	B	31.33	13
ALLE	B	31.23	16
ALLE	B	31.13	28
ALLE	B	31.03	10
ALLE	B	30.93	25
ALLE	O	31.53	24
ALLE	O	31.63	29
ALLE	O	31.73	12
ALLE	O	31.83	27
ALLE	O	31.93	21
ADS	B	56.82	15
ADS	B	56.72	21
ADS	B	56.62	18
ADS	B	56.52	29
ADS	B	56.42	12
ADS	O	57.02	24
ADS	O	57.12	11
ADS	O	57.22	12
ADS	O	57.32	29
ADS	O	57.42	22
ALL	B	48.62	28
ALL	B	48.52	13
ALL	B	48.42	18
ALL	B	48.32	12
ALL	B	48.22	28
ALL	O	48.82	19
ALL	O	48.92	11
ALL	O	49.02	25
ALL	O	49.12	13
